-4.68750000000000E-02, -3.45050000000000E-02,  0.00000000000000E+00
-6.37460000000000E-02, -3.04790000000000E-02,  0.00000000000000E+00
-4.67880000000000E-02, -4.50000000000000E-02,  1.56150000000000E-02
-5.03280000000000E-02, -2.16210000000000E-02,  3.50590000000000E-02

-7.60950000000000E-02,  0.00000000000000E+00,  6.00000000000000E-02
-9.00000000000000E-02, -1.54610000000000E-02,  4.54610000000000E-02
-9.00000000000000E-02,  5.00000000000000E-06,  4.51540000000000E-02
-5.90170000000000E-02,  3.01000000000000E-03,  3.00000000000000E-02

 7.50000000000000E-02, -4.50000000000000E-02,  4.00000000000000E-02
 9.00000000000000E-02, -3.00000000000000E-02,  4.00000000000000E-02
 6.57150000000000E-02, -3.10180000000000E-02,  6.00000000000000E-02
 7.86550000000000E-02, -3.33250000000000E-02,  6.00000000000000E-02

 9.00000000000000E-02, -3.00000000000000E-02,  4.00000000000000E-02
 6.57150000000000E-02, -3.10180000000000E-02,  6.00000000000000E-02
 7.86550000000000E-02, -3.33250000000000E-02,  6.00000000000000E-02
 7.69540000000000E-02, -2.00000000000000E-02,  6.00000000000000E-02

-4.68750000000000E-02, -3.45050000000000E-02,  0.00000000000000E+00
-4.61770000000000E-02, -1.90170000000000E-02,  0.00000000000000E+00
-6.37460000000000E-02, -3.04790000000000E-02,  0.00000000000000E+00
-5.03280000000000E-02, -2.16210000000000E-02,  3.50590000000000E-02

-4.61770000000000E-02, -1.90170000000000E-02,  0.00000000000000E+00
-3.00000000000000E-02, -0.00000000000000E+00,  1.76800000000000E-02
-4.59630000000000E-02, -0.00000000000000E+00,  0.00000000000000E+00
-5.90170000000000E-02,  3.01000000000000E-03,  3.00000000000000E-02

 6.57150000000000E-02, -3.10180000000000E-02,  6.00000000000000E-02
 9.00000000000000E-02, -3.00000000000000E-02,  4.00000000000000E-02
 7.50000000000000E-02, -4.50000000000000E-02,  4.00000000000000E-02
 6.42540000000000E-02, -1.96900000000000E-02,  2.56900000000000E-02

-4.67880000000000E-02, -4.50000000000000E-02,  1.56150000000000E-02
-6.37460000000000E-02, -3.04790000000000E-02,  0.00000000000000E+00
-6.15070000000000E-02, -4.50000000000000E-02,  1.38610000000000E-02
-5.03280000000000E-02, -2.16210000000000E-02,  3.50590000000000E-02

 7.69540000000000E-02, -2.00000000000000E-02,  6.00000000000000E-02
 7.25400000000000E-02, -0.00000000000000E+00,  6.00000000000000E-02
 9.00000000000000E-02, -1.54610000000000E-02,  4.54610000000000E-02
 6.42540000000000E-02, -1.96900000000000E-02,  2.56900000000000E-02

-3.00000000000000E-02, -0.00000000000000E+00,  1.76800000000000E-02
-5.90170000000000E-02,  3.01000000000000E-03,  3.00000000000000E-02
-4.61770000000000E-02, -1.90170000000000E-02,  0.00000000000000E+00
-5.03280000000000E-02, -2.16210000000000E-02,  3.50590000000000E-02

 9.00000000000000E-02, -3.00000000000000E-02,  4.00000000000000E-02
 6.57150000000000E-02, -3.10180000000000E-02,  6.00000000000000E-02
 7.69540000000000E-02, -2.00000000000000E-02,  6.00000000000000E-02
 6.42540000000000E-02, -1.96900000000000E-02,  2.56900000000000E-02

 3.00000000000000E-02,  0.00000000000000E+00,  2.00000000000000E-02
 5.95560000000000E-02,  6.03500000000000E-03,  3.00000000000000E-02
 4.63200000000000E-02, -2.29250000000000E-02,  3.91140000000000E-02
 4.32100000000000E-02, -2.50170000000000E-02,  1.90060000000000E-02

 5.85890000000000E-02, -1.64760000000000E-02,  6.00000000000000E-02
 5.95560000000000E-02,  6.03500000000000E-03,  3.00000000000000E-02
 7.25400000000000E-02, -0.00000000000000E+00,  6.00000000000000E-02
 6.42540000000000E-02, -1.96900000000000E-02,  2.56900000000000E-02

 7.50000000000000E-02,  4.50000000000000E-02,  2.00000000000000E-02
 6.57300000000000E-02,  3.10250000000000E-02,  0.00000000000000E+00
 7.86580000000000E-02,  3.33260000000000E-02,  0.00000000000000E+00
 7.04920000000000E-02,  2.48950000000000E-02,  3.15660000000000E-02

 6.57150000000000E-02, -3.10180000000000E-02,  6.00000000000000E-02
 7.50000000000000E-02, -4.50000000000000E-02,  4.00000000000000E-02
 6.20400000000000E-02, -4.50000000000000E-02,  4.68220000000000E-02
 6.42540000000000E-02, -1.96900000000000E-02,  2.56900000000000E-02

 7.69540000000000E-02, -2.00000000000000E-02,  6.00000000000000E-02
 5.85890000000000E-02, -1.64760000000000E-02,  6.00000000000000E-02
 7.25400000000000E-02, -0.00000000000000E+00,  6.00000000000000E-02
 6.42540000000000E-02, -1.96900000000000E-02,  2.56900000000000E-02

 7.50000000000000E-02,  4.50000000000000E-02,  2.00000000000000E-02
 7.86580000000000E-02,  3.33260000000000E-02,  0.00000000000000E+00
 8.56100000000000E-02,  4.06040000000000E-02,  1.47200000000000E-02
 7.04920000000000E-02,  2.48950000000000E-02,  3.15660000000000E-02

 9.00000000000000E-02,  3.00000000000000E-02,  2.00000000000000E-02
 8.56100000000000E-02,  4.06040000000000E-02,  1.47200000000000E-02
 7.86580000000000E-02,  3.33260000000000E-02,  0.00000000000000E+00
 7.04920000000000E-02,  2.48950000000000E-02,  3.15660000000000E-02

 6.57300000000000E-02,  3.10250000000000E-02,  0.00000000000000E+00
 7.69540000000000E-02,  2.00000000000000E-02,  0.00000000000000E+00
 7.86580000000000E-02,  3.33260000000000E-02,  0.00000000000000E+00
 7.04920000000000E-02,  2.48950000000000E-02,  3.15660000000000E-02

 4.98640000000000E-02,  0.00000000000000E+00,  0.00000000000000E+00
